doc_idx,run,split_score
0,0,1.218
0,1,2.684
0,2,1.967
1,0,2.67
1,1,2.31
1,2,0.813
2,0,1.79
2,1,2.783
2,2,1.965
3,0,2.87
3,1,2.716
3,2,1.276
4,0,2.257
4,1,1.882
4,2,2.356
5,0,2.495
5,1,2.863
5,2,1.785
6,0,2.05
6,1,2.595
6,2,1.957
7,0,1.993
7,1,2.664
7,2,2.234
8,0,2.037
8,1,1.649
8,2,1.585
9,0,2.329
9,1,2.9
9,2,1.493
10,0,3.0
10,1,2.634
10,2,2.443
11,0,1.707
11,1,2.201
11,2,2.316
12,0,1.44
12,1,1.816
12,2,2.384
13,0,1.653
13,1,2.819
13,2,1.742
14,0,2.03
14,1,2.119
14,2,2.269
15,0,1.988
15,1,2.4
15,2,1.745
16,0,1.979
16,1,2.176
16,2,1.917
17,0,2.163
17,1,2.447
17,2,2.139
18,0,2.032
18,1,2.256
18,2,1.975
19,0,1.937
19,1,1.879
19,2,2.861
20,0,2.444
20,1,1.216
20,2,2.23
21,0,2.713
21,1,3.0
21,2,2.703
22,0,2.539
22,1,2.036
22,2,1.434
23,0,2.294
23,1,2.806
23,2,1.182
24,0,1.876
24,1,2.744
24,2,2.406
25,0,1.392
25,1,3.0
25,2,2.197
26,0,2.601
26,1,2.122
26,2,3.0
27,0,2.68
27,1,2.975
27,2,1.328
28,0,1.91
28,1,2.437
28,2,1.042
29,0,2.539
29,1,1.068
29,2,2.33
30,0,2.076
30,1,2.456
30,2,2.627
31,0,2.198
31,1,2.323
31,2,1.888
32,0,1.974
32,1,2.778
32,2,2.545
33,0,1.962
33,1,2.233
33,2,2.734
34,0,1.751
34,1,1.872
34,2,1.778
35,0,3.0
35,1,1.652
35,2,1.959
36,0,2.847
36,1,1.14
36,2,0.715
37,0,2.355
37,1,2.913
37,2,1.958
38,0,1.743
38,1,2.699
38,2,1.657
39,0,1.821
39,1,2.462
39,2,2.656
40,0,2.554
40,1,1.647
40,2,1.67
41,0,0.927
41,1,2.655
41,2,2.004
42,0,2.589
42,1,2.54
42,2,2.552
43,0,1.674
43,1,1.276
43,2,2.178
44,0,2.013
44,1,1.933
44,2,2.682
45,0,3.0
45,1,3.0
45,2,2.419
46,0,1.874
46,1,1.597
46,2,2.055
47,0,1.96
47,1,1.929
47,2,2.366
48,0,1.375
48,1,1.732
48,2,2.359
49,0,2.785
49,1,1.996
49,2,3.0
