doc_idx,run,split_score
0,0,3.0
0,1,1.265
0,2,2.449
1,0,2.918
1,1,2.027
1,2,1.658
2,0,1.751
2,1,1.906
2,2,2.765
3,0,2.473
3,1,1.9
3,2,2.426
4,0,1.817
4,1,2.322
4,2,2.208
5,0,2.966
5,1,1.752
5,2,2.912
6,0,1.771
6,1,2.138
6,2,2.534
7,0,2.082
7,1,3.0
7,2,2.44
8,0,2.215
8,1,1.614
8,2,2.896
9,0,2.388
9,1,2.466
9,2,1.844
10,0,2.302
10,1,2.207
10,2,3.0
11,0,1.989
11,1,3.0
11,2,2.736
12,0,1.306
12,1,2.632
12,2,2.039
13,0,2.766
13,1,3.0
13,2,1.927
14,0,1.794
14,1,2.236
14,2,2.105
15,0,2.261
15,1,2.834
15,2,2.8
16,0,2.873
16,1,2.205
16,2,2.262
17,0,1.478
17,1,2.351
17,2,2.151
18,0,2.136
18,1,2.449
18,2,2.543
19,0,2.53
19,1,2.646
19,2,2.798
20,0,3.0
20,1,2.805
20,2,2.831
21,0,1.666
21,1,2.45
21,2,1.446
22,0,1.819
22,1,2.336
22,2,1.588
23,0,2.64
23,1,1.95
23,2,2.354
24,0,2.169
24,1,1.591
24,2,2.676
25,0,2.896
25,1,1.649
25,2,1.638
26,0,0.947
26,1,2.439
26,2,1.707
27,0,2.202
27,1,2.072
27,2,1.973
28,0,2.496
28,1,1.56
28,2,1.548
29,0,2.289
29,1,2.671
29,2,2.269
30,0,2.347
30,1,1.729
30,2,3.0
31,0,3.0
31,1,2.788
31,2,2.654
32,0,1.485
32,1,2.313
32,2,3.0
33,0,1.879
33,1,2.315
33,2,2.571
34,0,2.26
34,1,3.0
34,2,1.038
35,0,2.122
35,1,2.315
35,2,2.247
36,0,3.0
36,1,1.719
36,2,3.0
37,0,2.111
37,1,2.861
37,2,2.811
38,0,2.304
38,1,2.157
38,2,2.568
39,0,1.963
39,1,1.257
39,2,2.323
40,0,2.243
40,1,1.703
40,2,1.96
41,0,2.128
41,1,1.64
41,2,1.578
42,0,3.0
42,1,1.08
42,2,2.218
43,0,2.164
43,1,2.197
43,2,2.388
44,0,2.509
44,1,2.439
44,2,2.596
45,0,2.359
45,1,1.787
45,2,2.06
46,0,2.61
46,1,1.344
46,2,2.137
47,0,2.382
47,1,1.966
47,2,2.628
48,0,2.174
48,1,1.472
48,2,3.0
49,0,2.629
49,1,1.398
49,2,1.417
