doc_idx,run,split_score
0,0,1.872
0,1,2.037
0,2,1.94
1,0,1.931
1,1,2.966
1,2,0.984
2,0,2.065
2,1,1.47
2,2,0.966
3,0,1.627
3,1,1.781
3,2,1.624
4,0,1.607
4,1,0.994
4,2,0.906
5,0,2.148
5,1,2.209
5,2,1.749
6,0,2.713
6,1,2.293
6,2,1.976
7,0,1.842
7,1,2.057
7,2,1.682
8,0,2.315
8,1,1.635
8,2,1.151
9,0,1.381
9,1,2.122
9,2,1.93
10,0,1.705
10,1,1.308
10,2,1.859
11,0,1.718
11,1,1.909
11,2,1.713
12,0,1.567
12,1,2.262
12,2,1.108
13,0,2.585
13,1,1.207
13,2,3.0
14,0,1.937
14,1,1.662
14,2,1.903
15,0,2.313
15,1,1.79
15,2,1.12
16,0,1.984
16,1,2.223
16,2,1.531
17,0,2.027
17,1,1.708
17,2,0.664
18,0,1.873
18,1,1.157
18,2,1.046
19,0,2.234
19,1,2.454
19,2,1.942
20,0,1.604
20,1,1.543
20,2,2.334
21,0,1.687
21,1,1.953
21,2,1.455
22,0,1.343
22,1,1.993
22,2,2.616
23,0,2.367
23,1,2.332
23,2,1.337
24,0,1.485
24,1,2.208
24,2,1.957
25,0,0.885
25,1,1.464
25,2,2.612
26,0,2.057
26,1,2.295
26,2,1.508
27,0,1.137
27,1,2.131
27,2,1.958
28,0,1.535
28,1,1.74
28,2,2.319
29,0,1.023
29,1,2.306
29,2,0.958
30,0,1.654
30,1,1.509
30,2,2.648
31,0,1.654
31,1,1.789
31,2,1.298
32,0,1.354
32,1,2.095
32,2,0.16
33,0,1.292
33,1,1.948
33,2,0.675
34,0,1.881
34,1,0.831
34,2,1.632
35,0,1.333
35,1,1.776
35,2,1.57
36,0,2.166
36,1,1.697
36,2,1.93
37,0,1.351
37,1,1.844
37,2,0.696
38,0,1.975
38,1,1.802
38,2,0.694
39,0,1.269
39,1,0.0
39,2,1.711
40,0,1.848
40,1,0.664
40,2,2.124
41,0,2.089
41,1,2.586
41,2,0.457
42,0,0.929
42,1,1.226
42,2,2.095
43,0,1.421
43,1,2.222
43,2,1.871
44,0,1.313
44,1,2.677
44,2,0.934
45,0,1.953
45,1,1.624
45,2,1.594
46,0,1.398
46,1,2.65
46,2,2.001
47,0,2.633
47,1,0.785
47,2,2.526
48,0,1.704
48,1,1.603
48,2,2.151
49,0,1.387
49,1,2.339
49,2,0.179
