doc_idx,run,split_score
0,0,2.366
0,1,3.0
0,2,1.734
1,0,2.259
1,1,1.403
1,2,2.558
2,0,2.659
2,1,3.0
2,2,2.542
3,0,2.259
3,1,3.0
3,2,2.738
4,0,1.307
4,1,2.652
4,2,2.269
5,0,2.498
5,1,2.503
5,2,2.779
6,0,3.0
6,1,2.39
6,2,2.907
7,0,2.717
7,1,2.396
7,2,3.0
8,0,2.71
8,1,2.707
8,2,2.276
9,0,2.649
9,1,2.69
9,2,1.99
10,0,2.067
10,1,2.489
10,2,2.353
11,0,2.568
11,1,2.09
11,2,2.293
12,0,2.138
12,1,2.539
12,2,2.144
13,0,2.675
13,1,2.548
13,2,3.0
14,0,1.875
14,1,2.465
14,2,3.0
15,0,2.741
15,1,2.184
15,2,3.0
16,0,2.073
16,1,1.603
16,2,3.0
17,0,1.872
17,1,2.314
17,2,1.538
18,0,3.0
18,1,2.239
18,2,2.52
19,0,3.0
19,1,2.762
19,2,1.369
20,0,2.359
20,1,2.238
20,2,2.308
21,0,2.476
21,1,1.674
21,2,2.126
22,0,3.0
22,1,2.547
22,2,2.895
23,0,2.569
23,1,1.918
23,2,2.464
24,0,2.378
24,1,1.684
24,2,2.149
25,0,3.0
25,1,2.313
25,2,1.265
26,0,2.031
26,1,2.481
26,2,0.913
27,0,1.983
27,1,1.866
27,2,2.159
28,0,2.782
28,1,3.0
28,2,3.0
29,0,2.362
29,1,1.616
29,2,2.389
30,0,2.118
30,1,2.775
30,2,1.338
31,0,2.641
31,1,2.412
31,2,2.659
32,0,2.338
32,1,2.422
32,2,2.669
33,0,1.66
33,1,1.731
33,2,2.803
34,0,2.12
34,1,2.756
34,2,3.0
35,0,2.6
35,1,1.531
35,2,2.834
36,0,2.699
36,1,2.714
36,2,2.627
37,0,1.573
37,1,2.424
37,2,3.0
38,0,3.0
38,1,2.621
38,2,2.396
39,0,2.21
39,1,2.545
39,2,1.686
40,0,2.677
40,1,2.44
40,2,2.236
41,0,0.373
41,1,2.619
41,2,2.754
42,0,2.815
42,1,1.609
42,2,2.568
43,0,1.847
43,1,2.146
43,2,2.939
44,0,2.441
44,1,2.157
44,2,3.0
45,0,2.325
45,1,1.571
45,2,1.95
46,0,1.761
46,1,1.422
46,2,3.0
47,0,2.214
47,1,2.686
47,2,3.0
48,0,1.828
48,1,2.255
48,2,2.392
49,0,2.203
49,1,3.0
49,2,3.0
