dataset,embedding_model,chunking_strategy,avg_chunks_per_doc,avg_chunk_length_chars,std_chunk_length_chars,recall@10,mrr@10,ndcg@10
FiQA2018,AML12v2,chonkie,2.245,342.212,238.732,0.413663,0.42586,0.352451
FiQA2018,AML12v2,langchain,1.305,587.583,316.042,0.438839,0.455007,0.373587
FiQA2018,AML12v2,recur,0.999,768.717,738.588,0.434605,0.45562,0.372735
FiQA2018,E5Sv2,chonkie,2.245,342.212,238.732,0.374436,0.37636,0.314854
FiQA2018,E5Sv2,langchain,1.305,587.583,316.042,0.41932,0.420038,0.351051
FiQA2018,E5Sv2,recur,0.999,768.717,738.588,0.418968,0.427468,0.354951
FiQA2018,ME5S,chonkie,2.245,342.212,238.732,0.366975,0.364071,0.301273
FiQA2018,ME5S,langchain,1.305,587.583,316.042,0.3954,0.405886,0.334162
FiQA2018,ME5S,recur,0.999,768.717,738.588,0.385904,0.393007,0.319721
FiQA2018,MQML6Cv1,chonkie,2.245,342.212,238.732,0.405477,0.407268,0.33916
FiQA2018,MQML6Cv1,langchain,1.305,587.583,316.042,0.429395,0.450006,0.369439
FiQA2018,MQML6Cv1,recur,0.999,768.717,738.588,0.441306,0.445122,0.368671
NFCorpus,AML12v2,chonkie,3.98,399.649,238.732,0.134271,0.505393,0.282404
NFCorpus,AML12v2,langchain,2.024,785.261,316.042,0.142766,0.500548,0.294365
NFCorpus,AML12v2,recur,1.0,1590.784,738.588,0.154688,0.512621,0.323306
NFCorpus,E5Sv2,chonkie,3.98,399.649,238.732,0.13624,0.500914,0.286644
NFCorpus,E5Sv2,langchain,2.024,785.261,316.042,0.134226,0.464627,0.267907
NFCorpus,E5Sv2,recur,1.0,1590.784,738.588,0.154266,0.502111,0.317048
NFCorpus,ME5S,chonkie,3.98,399.649,238.732,0.121692,0.443892,0.249624
NFCorpus,ME5S,langchain,2.024,785.261,316.042,0.106171,0.347966,0.19581
NFCorpus,ME5S,recur,1.0,1590.784,738.588,0.147781,0.506944,0.304976
NFCorpus,MQML6Cv1,chonkie,3.98,399.649,238.732,0.131801,0.503005,0.2799
NFCorpus,MQML6Cv1,langchain,2.024,785.261,316.042,0.132843,0.472602,0.273906
NFCorpus,MQML6Cv1,recur,1.0,1590.784,738.588,0.154988,0.506106,0.318107
SciFact,AML12v2,chonkie,3.374,444.338,238.732,0.747944,0.594827,0.624387
SciFact,AML12v2,langchain,1.972,759.849,316.042,0.755278,0.595672,0.627213
SciFact,AML12v2,recur,1.0,1499.415,738.588,0.782333,0.586066,0.626393
SciFact,E5Sv2,chonkie,3.374,444.338,238.732,0.684889,0.534794,0.565254
SciFact,E5Sv2,langchain,1.972,759.849,316.042,0.700722,0.531532,0.566281
SciFact,E5Sv2,recur,1.0,1499.415,738.588,0.812889,0.642085,0.679654
SciFact,ME5S,chonkie,3.374,444.338,238.732,0.6475,0.498696,0.528448
SciFact,ME5S,langchain,1.972,759.849,316.042,0.679556,0.525821,0.557718
SciFact,ME5S,recur,1.0,1499.415,738.588,0.804556,0.637266,0.669407
SciFact,MQML6Cv1,chonkie,3.374,444.338,238.732,0.762889,0.578759,0.618917
SciFact,MQML6Cv1,langchain,1.972,759.849,316.042,0.788889,0.610975,0.650105
SciFact,MQML6Cv1,recur,1.0,1499.415,738.588,0.783333,0.604725,0.645082
TRECCOVID,AML12v2,chonkie,0.132,274.67,238.732,0.005418,0.812333,0.643201
TRECCOVID,AML12v2,langchain,0.046,782.916,316.042,0.005638,0.829143,0.661834
TRECCOVID,AML12v2,recur,0.087,380.856,738.588,0.005831,0.832412,0.668143
TRECCOVID,E5Sv2,chonkie,0.132,274.67,238.732,0.005401,0.828,0.654832
TRECCOVID,E5Sv2,langchain,0.046,782.916,316.042,0.005569,0.8425,0.672811
TRECCOVID,E5Sv2,recur,0.087,380.856,738.588,0.005704,0.842211,0.674026
TRECCOVID,ME5S,chonkie,0.132,274.67,238.732,0.005412,0.798714,0.658721
TRECCOVID,ME5S,langchain,0.046,782.916,316.042,0.005611,0.815857,0.674822
TRECCOVID,ME5S,recur,0.087,380.856,738.588,0.005512,0.812105,0.664873
TRECCOVID,MQML6Cv1,chonkie,0.132,274.67,238.732,0.005162,0.799405,0.617245
TRECCOVID,MQML6Cv1,langchain,0.046,782.916,316.042,0.005317,0.812095,0.638491
TRECCOVID,MQML6Cv1,recur,0.087,380.856,738.588,0.005248,0.804048,0.624355
